eco	family	variation	epd	pgn	move_count	eval	master_games	master_white_win	master_black_win	master_draw	lichess_games	lichess_white_win	lichess_black_win	lichess_draw
C39	King's Gambit Accepted	Kieseritzky, Rice Gambit	rnbqk2r/ppp2p1p/3b1n2/3PN3/2B2ppP/8/PPPP2P1/RNBQ1RK1 b kq -	1. e4 e5 2. f4 exf4 3. Nf3 g5 4. h4 g4 5. Ne5 Nf6 6. Bc4 d5 7. exd5 Bd6 8. O-O	15	-1.88	3	0.0	66.66666666666666	33.33333333333333	155	35.483870967741936	58.70967741935483	5.806451612903226
C39	King's Gambit Accepted	Kieseritzky, Salvio Defense, Cozio Variation	rnb1kbnr/ppppq2p/8/4Np2/2BPPppP/8/PPP3P1/RNBQK2R b KQkq -	1. e4 e5 2. f4 exf4 3. Nf3 g5 4. h4 g4 5. Ne5 Qe7 6. d4 f5 7. Bc4	13	1.17	0	0.0	0.0	0.0	65	60.0	40.0	0.0
C39	King's Gambit Accepted	King's Knight's Gambit	rnbqkbnr/pppp1p1p/8/6p1/4Pp1P/5N2/PPPP2P1/RNBQKB1R b KQkq -	1. e4 e5 2. f4 exf4 3. Nf3 g5 4. h4	7	-0.83	434	25.115207373271893	35.483870967741936	39.40092165898618	935647	53.264639335133865	43.55584958857347	3.1795110762926617
C40	Elephant Gambit		rnbqkbnr/ppp2ppp/8/3pp3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -	1. e4 e5 2. Nf3 d5	4	1.02	265	45.28301886792453	32.45283018867924	22.264150943396228	9636411	47.91768429138193	48.18615561332948	3.896160095288588
C40	Elephant Gambit	Maróczy Gambit	rnbqk1nr/ppp2ppp/3b4/3Pp3/8/5N2/PPPP1PPP/RNBQKB1R w KQkq -	1. e4 e5 2. Nf3 d5 3. exd5 Bd6	6	1.37	48	64.58333333333334	10.416666666666668	25.0	228132	47.1297319095962	49.354321182473306	3.5159469079304966
C40	Elephant Gambit	Paulsen Countergambit	rnbqkbnr/ppp2ppp/8/3P4/4p3/5N2/PPPP1PPP/RNBQKB1R w KQkq -	1. e4 e5 2. Nf3 d5 3. exd5 e4	6	1.04	68	44.11764705882353	32.35294117647059	23.52941176470588	3697525	44.791448333682666	51.379990669434285	3.82856099688305
C40	Elephant Gambit	Wasp Variation	rnb1kbnr/ppp2ppp/8/4N1q1/2B1p3/8/PPPP1PPP/RNBQK2R w KQkq -	1. e4 e5 2. Nf3 d5 3. Nxe5 dxe4 4. Bc4 Qg5	8	1.35	1	0.0	100.0	0.0	39123	35.845921836260004	61.250415356695555	2.9036628070444497
C40	Gunderam Defense		rnb1kbnr/ppppqppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -	1. e4 e5 2. Nf3 Qe7	4	1.03	298	44.63087248322148	24.496644295302016	30.87248322147651	938800	52.01075841499787	44.09011504047721	3.899126544524925
C40	King's Knight Opening		rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq -	1. e4 e5 2. Nf3	3	0.28	265070	29.53672614781001	19.8392877353152	50.62398611687479	494695337	50.92958436355748	44.678085777064844	4.392329859377672
C40	King's Pawn Game	Busch-Gass Gambit	rnbqk1nr/pppp1ppp/8/2b1p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -	1. e4 e5 2. Nf3 Bc5	4	1.76	5	80.0	0.0	20.0	11555020	52.710787173020904	43.81030063124079	3.4789121957383027
C40	King's Pawn Game	Busch-Gass Gambit, Chiodini Gambit	r1bqk1nr/pppp1ppp/2n5/2b1N3/4P3/8/PPPP1PPP/RNBQKB1R w KQkq -	1. e4 e5 2. Nf3 Bc5 3. Nxe5 Nc6	6	1.82	0	0.0	0.0	0.0	147241	49.33272661826529	47.5771014866783	3.0901718950564043
C40	King's Pawn Game	Damiano Defense	rnbqkbnr/pppp2pp/5p2/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -	1. e4 e5 2. Nf3 f6	4	1.69	5	100.0	0.0	0.0	2520590	62.81211938474722	33.63442686037793	3.553453754874851
C40	King's Pawn Game	Damiano Defense, Damiano Gambit	rnb1kbnQ/ppppq2p/6p1/8/4P3/8/PPPP1PPP/RNB1KB1R b KQq -	1. e4 e5 2. Nf3 f6 3. Nxe5 fxe5 4. Qh5+ g6 5. Qxe5+ Qe7 6. Qxh8	11	3.11	1	100.0	0.0	0.0	84376	73.55646155304825	23.71764482791315	2.7258936190385894
C40	King's Pawn Game	Damiano Defense, Damiano Gambit, Chigorin Gambit	rnb1kbnr/ppp1q1pp/5p2/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -	1. e4 e5 2. Nf3 f6 3. Nxe5 Qe7 4. Nf3 d5	8	1.57	3	100.0	0.0	0.0	4059	52.894801675289486	41.31559497413156	5.78960335057896
C40	King's Pawn Game	Gunderam Defense, Gunderam Gambit	rnb1kbnr/ppppq1pp/8/4pp2/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq -	1. e4 e5 2. Nf3 Qe7 3. Bc4 f5	6	1.92	0	0.0	0.0	0.0	2797	55.988559170539865	41.07972828030032	2.931712549159814
C40	King's Pawn Game	Gunderam Gambit	rnbqkbnr/pp1p1ppp/2p5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -	1. e4 e5 2. Nf3 c6	4	1.25	8	37.5	12.5	50.0	1073839	54.55603679881248	41.74527093912588	3.6986922620616314
C40	King's Pawn Game	La Bourdonnais Gambit	rnb1kbnr/pppp1ppp/6q1/4p3/2B1P3/5N2/PPPP1PPP/RNBQ1RK1 b kq -	1. e4 e5 2. Nf3 Qf6 3. Bc4 Qg6 4. O-O	7	1.35	0	0.0	0.0	0.0	18778	54.47331984236873	42.70422835232719	2.822451805304079
C40	King's Pawn Game	McConnell Defense	rnb1kbnr/pppp1ppp/5q2/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -	1. e4 e5 2. Nf3 Qf6	4	1.35	0	0.0	0.0	0.0	8150387	51.60485017459907	44.476722393672844	3.9184274317280887
C40	Latvian Gambit		rnbqkbnr/pppp2pp/8/4pp2/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -	1. e4 e5 2. Nf3 f5	4	1.48	320	64.375	16.5625	19.0625	4410363	48.67207075698758	47.831731764482875	3.4961974785295453
C40	Latvian Gambit Accepted		rnbqkbnr/pppp2pp/8/4pP2/8/5N2/PPPP1PPP/RNBQKB1R b KQkq -	1. e4 e5 2. Nf3 f5 3. exf5	5	1.08	29	58.620689655172406	20.689655172413794	20.689655172413794	1595079	47.15177116619302	49.32182042394139	3.526408409865593
